# Integration time (s): 0.1
# X	Y	Counts
19.0	8.0	145736.0
21.0	8.0	195127.0
23.0	8.0	274443.0
25.0	8.0	362243.0
27.0	8.0	422461.0
29.0	8.0	465350.0
29.0	10.0	395765.0
27.0	10.0	335696.0
25.0	10.0	246639.0
23.0	10.0	179872.0
21.0	10.0	135141.0
19.0	10.0	101450.0
17.0	10.0	76191.0
15.0	10.0	55101.0
13.0	10.0	37359.0
11.0	10.0	24609.0
9.0	10.0	16611.0
7.0	10.0	11415.0
5.0	10.0	8286.0
3.0	10.0	6175.0
1.0	10.0	4790.0
-1.0	10.0	3966.0
-1.0	12.0	3505.0
1.0	12.0	4226.0
3.0	12.0	5111.0
5.0	12.0	6338.0
7.0	12.0	8101.0
9.0	12.0	11155.0
11.0	12.0	16059.0
13.0	12.0	23854.0
15.0	12.0	34733.0
17.0	12.0	49009.0
19.0	12.0	68937.0
21.0	12.0	90615.0
23.0	12.0	121270.0
25.0	12.0	157470.0
27.0	12.0	206651.0
29.0	12.0	274969.0
29.0	14.0	164090.0
27.0	14.0	128172.0
25.0	14.0	101430.0
23.0	14.0	78219.0
21.0	14.0	58255.0
19.0	14.0	42196.0
17.0	14.0	29600.0
15.0	14.0	19726.0
13.0	14.0	14277.0
11.0	14.0	9980.0
9.0	14.0	7431.0
7.0	14.0	6040.0
5.0	14.0	5049.0
3.0	14.0	4404.0
1.0	14.0	3837.0
-1.0	14.0	3329.0
